method signature	Jimple statement	suspicious score	ranking	source line	ef	ep	nf	failing tests
<comp5111.assignment.cut.Subject$StringAlgorithms: boolean isOneOf(char,char[])>	goto [?= return l2]	0.5000000000	2	184	2	0	6	test137;test_ext_fault_L205
<comp5111.assignment.cut.Subject$StringAlgorithms: boolean isOneOf(char,char[])>	l2 = 1	0.5000000000	2	183	2	0	6	test137;test_ext_fault_L205
<comp5111.assignment.cut.Subject$StringAlgorithms: java.lang.String parseToken(java.lang.String,char[])>	goto [?= $stack7 = virtualinvoke l0.<java.lang.String: java.lang.String substring(int,int)>(0, l4)]	0.5000000000	2	206	2	0	6	test137;test_ext_fault_L205
<comp5111.assignment.cut.Subject$StringAlgorithms: java.lang.String parseToken(java.lang.String,char[])>	l4 = l4 + 1	0.5000000000	2	205	2	0	6	test137;test_ext_fault_L205
<comp5111.assignment.cut.Subject$DateTimeAlgorithms: int monAbbr2month(java.lang.String)>	return -1	0.4082482905	8	624	2	1	6	test077;test_ext_fault_L615
<comp5111.assignment.cut.Subject$StringAlgorithms: int extractIntInStr(java.lang.String)>	$stack7 = l3 - 48	0.4082482905	8	346	2	1	6	test114;test_ext_fault_L344
<comp5111.assignment.cut.Subject$StringAlgorithms: int extractIntInStr(java.lang.String)>	$stack8 = l1 * 10	0.4082482905	8	346	2	1	6	test114;test_ext_fault_L344
<comp5111.assignment.cut.Subject$StringAlgorithms: int extractIntInStr(java.lang.String)>	goto [?= staticinvoke <comp5111.assignment.CoverageRuntime: void hit(java.lang.String)>("<comp5111.assignment.cut.Subject$StringAlgorithms: int extractIntInStr(java.lang.String)> ::: 7")]	0.4082482905	8	341	2	1	6	test114;test_ext_fault_L344
<comp5111.assignment.cut.Subject$StringAlgorithms: int extractIntInStr(java.lang.String)>	l1 = $stack8 + $stack7	0.4082482905	8	346	2	1	6	test114;test_ext_fault_L344
<comp5111.assignment.cut.Subject$StringAlgorithms: int extractIntInStr(java.lang.String)>	l2 = l2 + 1	0.4082482905	8	341	2	1	6	test114;test_ext_fault_L344
<comp5111.assignment.cut.Subject$StringAlgorithms: int extractIntInStr(java.lang.String)>	return l1	0.4082482905	8	344	2	1	6	test114;test_ext_fault_L344
<comp5111.assignment.cut.Subject$DateTimeAlgorithms: int daysBetweenDateStrings(java.lang.String,java.lang.String)>	$stack16 = l2[1]	0.3535533906	33	692	1	0	7	test000
<comp5111.assignment.cut.Subject$DateTimeAlgorithms: int daysBetweenDateStrings(java.lang.String,java.lang.String)>	$stack18 = l2[2]	0.3535533906	33	693	1	0	7	test000
<comp5111.assignment.cut.Subject$DateTimeAlgorithms: int daysBetweenDateStrings(java.lang.String,java.lang.String)>	$stack20 = l3[0]	0.3535533906	33	694	1	0	7	test000
<comp5111.assignment.cut.Subject$DateTimeAlgorithms: int daysBetweenDateStrings(java.lang.String,java.lang.String)>	$stack22 = l3[1]	0.3535533906	33	695	1	0	7	test000
<comp5111.assignment.cut.Subject$DateTimeAlgorithms: int daysBetweenDateStrings(java.lang.String,java.lang.String)>	$stack24 = l3[2]	0.3535533906	33	696	1	0	7	test000
<comp5111.assignment.cut.Subject$DateTimeAlgorithms: int daysBetweenDateStrings(java.lang.String,java.lang.String)>	$stack26 = staticinvoke <comp5111.assignment.cut.Subject$DateTimeAlgorithms: int daysBetweenDates(int,int,int,int,int,int)>(l4, l5, l6, l7, l8, l9)	0.3535533906	33	697	1	0	7	test000
<comp5111.assignment.cut.Subject$DateTimeAlgorithms: int daysBetweenDateStrings(java.lang.String,java.lang.String)>	l5 = staticinvoke <java.lang.Integer: int parseInt(java.lang.String)>($stack16)	0.3535533906	33	692	1	0	7	test000
<comp5111.assignment.cut.Subject$DateTimeAlgorithms: int daysBetweenDateStrings(java.lang.String,java.lang.String)>	l6 = staticinvoke <java.lang.Integer: int parseInt(java.lang.String)>($stack18)	0.3535533906	33	693	1	0	7	test000
<comp5111.assignment.cut.Subject$DateTimeAlgorithms: int daysBetweenDateStrings(java.lang.String,java.lang.String)>	l7 = staticinvoke <java.lang.Integer: int parseInt(java.lang.String)>($stack20)	0.3535533906	33	694	1	0	7	test000
<comp5111.assignment.cut.Subject$DateTimeAlgorithms: int daysBetweenDateStrings(java.lang.String,java.lang.String)>	l8 = staticinvoke <java.lang.Integer: int parseInt(java.lang.String)>($stack22)	0.3535533906	33	695	1	0	7	test000
<comp5111.assignment.cut.Subject$DateTimeAlgorithms: int daysBetweenDateStrings(java.lang.String,java.lang.String)>	l9 = staticinvoke <java.lang.Integer: int parseInt(java.lang.String)>($stack24)	0.3535533906	33	696	1	0	7	test000
<comp5111.assignment.cut.Subject$DateTimeAlgorithms: int monAbbr2month(java.lang.String)>	if l4 != 4482403 goto return -1	0.3535533906	33	621	2	2	6	test077;test_ext_fault_L615
<comp5111.assignment.cut.Subject$StringAlgorithms: boolean isOneOf(char,char[])>	goto [?= staticinvoke <comp5111.assignment.CoverageRuntime: void hit(java.lang.String)>("<comp5111.assignment.cut.Subject$StringAlgorithms: boolean isOneOf(char,char[])> ::: 6")]	0.3535533906	33	181	2	2	6	test137;test_ext_fault_L205
<comp5111.assignment.cut.Subject$StringAlgorithms: boolean isOneOf(char,char[])>	if l0 != l6 goto l5 = l5 + 1	0.3535533906	33	182	2	2	6	test137;test_ext_fault_L205
<comp5111.assignment.cut.Subject$StringAlgorithms: boolean isOneOf(char,char[])>	if l5 >= l4 goto return l2	0.3535533906	33	181	2	2	6	test137;test_ext_fault_L205
<comp5111.assignment.cut.Subject$StringAlgorithms: boolean isOneOf(char,char[])>	l2 = 0	0.3535533906	33	180	2	2	6	test137;test_ext_fault_L205
<comp5111.assignment.cut.Subject$StringAlgorithms: boolean isOneOf(char,char[])>	l3 = l1	0.3535533906	33	181	2	2	6	test137;test_ext_fault_L205
<comp5111.assignment.cut.Subject$StringAlgorithms: boolean isOneOf(char,char[])>	l4 = lengthof l3	0.3535533906	33	181	2	2	6	test137;test_ext_fault_L205
<comp5111.assignment.cut.Subject$StringAlgorithms: boolean isOneOf(char,char[])>	l5 = 0	0.3535533906	33	181	2	2	6	test137;test_ext_fault_L205
<comp5111.assignment.cut.Subject$StringAlgorithms: boolean isOneOf(char,char[])>	l5 = l5 + 1	0.3535533906	33	181	2	2	6	test137;test_ext_fault_L205
<comp5111.assignment.cut.Subject$StringAlgorithms: boolean isOneOf(char,char[])>	l6 = l3[l5]	0.3535533906	33	181	2	2	6	test137;test_ext_fault_L205
<comp5111.assignment.cut.Subject$StringAlgorithms: boolean isOneOf(char,char[])>	return l2	0.3535533906	33	187	2	2	6	test137;test_ext_fault_L205
<comp5111.assignment.cut.Subject$StringAlgorithms: int extractIntInStr(java.lang.String)>	$stack5 = virtualinvoke l0.<java.lang.String: int length()>()	0.3535533906	33	341	2	2	6	test114;test_ext_fault_L344
<comp5111.assignment.cut.Subject$StringAlgorithms: int extractIntInStr(java.lang.String)>	if l2 >= $stack5 goto return l1	0.3535533906	33	341	2	2	6	test114;test_ext_fault_L344
<comp5111.assignment.cut.Subject$StringAlgorithms: int extractIntInStr(java.lang.String)>	if l3 < 48 goto return l1	0.3535533906	33	343	2	2	6	test114;test_ext_fault_L344
<comp5111.assignment.cut.Subject$StringAlgorithms: int extractIntInStr(java.lang.String)>	if l3 <= 57 goto $stack8 = l1 * 10	0.3535533906	33	343	2	2	6	test114;test_ext_fault_L344
<comp5111.assignment.cut.Subject$StringAlgorithms: int extractIntInStr(java.lang.String)>	l1 = 0	0.3535533906	33	340	2	2	6	test114;test_ext_fault_L344
<comp5111.assignment.cut.Subject$StringAlgorithms: int extractIntInStr(java.lang.String)>	l2 = 0	0.3535533906	33	341	2	2	6	test114;test_ext_fault_L344
<comp5111.assignment.cut.Subject$StringAlgorithms: int extractIntInStr(java.lang.String)>	l3 = virtualinvoke l0.<java.lang.String: char charAt(int)>(l2)	0.3535533906	33	342	2	2	6	test114;test_ext_fault_L344
<comp5111.assignment.cut.Subject$StringAlgorithms: int[] getVersionNo(java.lang.String)>	goto [?= $stack9 = staticinvoke <comp5111.assignment.cut.Subject$StringAlgorithms: int extractIntInStr(java.lang.String)>(l5)]	0.3535533906	33	374	1	0	7	test114
<comp5111.assignment.cut.Subject$StringAlgorithms: int[] getVersionNo(java.lang.String)>	l5 = virtualinvoke l0.<java.lang.String: java.lang.String substring(int)>(l3)	0.3535533906	33	374	1	0	7	test114
<comp5111.assignment.cut.Subject$StringAlgorithms: int[] getVersionNo(java.lang.String)>	return l1	0.3535533906	33	382	1	0	7	test114
<comp5111.assignment.cut.Subject$StringAlgorithms: java.lang.String parseToken(java.lang.String,char[])>	$stack6 = lengthof l3	0.3535533906	33	202	2	2	6	test137;test_ext_fault_L205
<comp5111.assignment.cut.Subject$StringAlgorithms: java.lang.String parseToken(java.lang.String,char[])>	$stack7 = virtualinvoke l0.<java.lang.String: java.lang.String substring(int,int)>(0, l4)	0.3535533906	33	210	2	2	6	test137;test_ext_fault_L205
<comp5111.assignment.cut.Subject$StringAlgorithms: java.lang.String parseToken(java.lang.String,char[])>	$stack8 = staticinvoke <comp5111.assignment.cut.Subject$StringAlgorithms: boolean isOneOf(char,char[])>(l2, l1)	0.3535533906	33	204	2	2	6	test137;test_ext_fault_L205
