method signature	Jimple statement	suspicious score	ranking	source line	ef	ep	nf	failing tests
<comp5111.assignment.cut.Subject$StringAlgorithms: int extractIntInStr(java.lang.String)>	$stack7 = l3 - 48	0.6579516950	3	346	10	1	11	test040;test127;test139;test160;test189;test194;test286;test320;test449;test456
<comp5111.assignment.cut.Subject$StringAlgorithms: int extractIntInStr(java.lang.String)>	$stack8 = l1 * 10	0.6579516950	3	346	10	1	11	test040;test127;test139;test160;test189;test194;test286;test320;test449;test456
<comp5111.assignment.cut.Subject$StringAlgorithms: int extractIntInStr(java.lang.String)>	goto [?= staticinvoke <comp5111.assignment.CoverageRuntime: void hit(java.lang.String)>("<comp5111.assignment.cut.Subject$StringAlgorithms: int extractIntInStr(java.lang.String)> ::: 7")]	0.6579516950	3	341	10	1	11	test040;test127;test139;test160;test189;test194;test286;test320;test449;test456
<comp5111.assignment.cut.Subject$StringAlgorithms: int extractIntInStr(java.lang.String)>	l1 = $stack8 + $stack7	0.6579516950	3	346	10	1	11	test040;test127;test139;test160;test189;test194;test286;test320;test449;test456
<comp5111.assignment.cut.Subject$StringAlgorithms: int extractIntInStr(java.lang.String)>	l2 = l2 + 1	0.6579516950	3	341	10	1	11	test040;test127;test139;test160;test189;test194;test286;test320;test449;test456
<comp5111.assignment.cut.Subject$StringAlgorithms: boolean isOneOf(char,char[])>	goto [?= return l2]	0.6172133998	7	184	8	0	13	test167;test187;test312;test333;test337;test355;test423;test480
<comp5111.assignment.cut.Subject$StringAlgorithms: boolean isOneOf(char,char[])>	l2 = 1	0.6172133998	7	183	8	0	13	test167;test187;test312;test333;test337;test355;test423;test480
<comp5111.assignment.cut.Subject$StringAlgorithms: java.lang.String parseToken(java.lang.String,char[])>	goto [?= $stack7 = virtualinvoke l0.<java.lang.String: java.lang.String substring(int,int)>(0, l4)]	0.6172133998	7	206	8	0	13	test167;test187;test312;test333;test337;test355;test423;test480
<comp5111.assignment.cut.Subject$StringAlgorithms: java.lang.String parseToken(java.lang.String,char[])>	l4 = l4 + 1	0.6172133998	7	205	8	0	13	test167;test187;test312;test333;test337;test355;test423;test480
<comp5111.assignment.cut.Subject$StringAlgorithms: int extractIntInStr(java.lang.String)>	return l1	0.6000991981	10	344	11	5	10	test040;test127;test139;test160;test189;test194;test286;test320;test328;test449;test456
<comp5111.assignment.cut.Subject$StringAlgorithms: int extractIntInStr(java.lang.String)>	$stack4 = virtualinvoke l0.<java.lang.String: int length()>()	0.5821817364	15	337	11	6	10	test040;test127;test139;test160;test189;test194;test286;test320;test328;test449;test456
<comp5111.assignment.cut.Subject$StringAlgorithms: int extractIntInStr(java.lang.String)>	$stack5 = virtualinvoke l0.<java.lang.String: int length()>()	0.5821817364	15	341	11	6	10	test040;test127;test139;test160;test189;test194;test286;test320;test328;test449;test456
<comp5111.assignment.cut.Subject$StringAlgorithms: int extractIntInStr(java.lang.String)>	if $stack4 >= 1 goto l1 = 0	0.5821817364	15	337	11	6	10	test040;test127;test139;test160;test189;test194;test286;test320;test328;test449;test456
<comp5111.assignment.cut.Subject$StringAlgorithms: int extractIntInStr(java.lang.String)>	if l0 == null goto return 0	0.5821817364	15	337	11	6	10	test040;test127;test139;test160;test189;test194;test286;test320;test328;test449;test456
<comp5111.assignment.cut.Subject$StringAlgorithms: int extractIntInStr(java.lang.String)>	if l2 >= $stack5 goto return l1	0.5821817364	15	341	11	6	10	test040;test127;test139;test160;test189;test194;test286;test320;test328;test449;test456
<comp5111.assignment.cut.Subject$StringAlgorithms: int extractIntInStr(java.lang.String)>	if l3 < 48 goto return l1	0.5821817364	15	343	11	6	10	test040;test127;test139;test160;test189;test194;test286;test320;test328;test449;test456
<comp5111.assignment.cut.Subject$StringAlgorithms: int extractIntInStr(java.lang.String)>	l1 = 0	0.5821817364	15	340	11	6	10	test040;test127;test139;test160;test189;test194;test286;test320;test328;test449;test456
