agg_rank	source_line	sum_score	max_score	num_suites	R0_score	R0_rank	R1_score	R1_rank	E0_score	E0_rank	E1_score	E1_rank	methods	jimple_samples
1	184	2.3780993101	0.7608859103	4	0.6172133998	6.5	0.7608859103	13.0	0.5000000000	12.5	0.5000000000	11.5	boolean isOneOf	goto [?= return result]
2	183	2.3780993101	0.7608859103	4	0.6172133998	6.5	0.7608859103	13.0	0.5000000000	12.5	0.5000000000	11.5	boolean isOneOf	result = 1
3	206	2.3780993101	0.7608859103	4	0.6172133998	6.5	0.7608859103	13.0	0.5000000000	12.5	0.5000000000	11.5	java.lang.String parseToken	goto [?= $stack10 = virtualinvoke str.<java.lang.String: java.lang.String substr
4	205	2.3780993101	0.7608859103	4	0.6172133998	6.5	0.7608859103	13.0	0.5000000000	12.5	0.5000000000	11.5	java.lang.String parseToken	pos = pos + 1
5	346	2.0915066798	0.6579516950	4	0.6579516950	2.5	0.4335549848	27.5	0.5000000000	12.5	0.5000000000	11.5	int extractIntInStr	$stack7 = ch - 48 | $stack8 = num * 10 | num = $stack8 + $stack7
6	341	2.0915066798	0.6579516950	4	0.6579516950	2.5	0.4335549848	27.5	0.5000000000	12.5	0.5000000000	11.5	int extractIntInStr	$stack5 = virtualinvoke str.<java.lang.String: int length()>() | goto [?= $stack5 = virtualinvoke str.<java.lang.String: int length()>()] | i = i + 1
7	181	2.0200451390	0.7608859103	4	0.5520524475	30.0	0.7608859103	13.0	0.3535533906	44.5	0.3535533906	42.5	boolean isOneOf	element = l6[l4] | goto [?= (branch)] | if l4 < l5 goto staticinvoke <comp5111.assignment.CoverageRuntime: void hit(java
8	182	2.0200451390	0.7608859103	4	0.5520524475	30.0	0.7608859103	13.0	0.3535533906	44.5	0.3535533906	42.5	boolean isOneOf	if ch != element goto l4 = l4 + 1
9	180	2.0200451390	0.7608859103	4	0.5520524475	30.0	0.7608859103	13.0	0.3535533906	44.5	0.3535533906	42.5	boolean isOneOf	result = 0
10	187	2.0200451390	0.7608859103	4	0.5520524475	30.0	0.7608859103	13.0	0.3535533906	44.5	0.3535533906	42.5	boolean isOneOf	return result
11	210	2.0200451390	0.7608859103	4	0.5520524475	30.0	0.7608859103	13.0	0.3535533906	44.5	0.3535533906	42.5	java.lang.String parseToken	$stack10 = virtualinvoke str.<java.lang.String: java.lang.String substring(int,i | return $stack10
12	202	2.0200451390	0.7608859103	4	0.5520524475	30.0	0.7608859103	13.0	0.3535533906	44.5	0.3535533906	42.5	java.lang.String parseToken	$stack6 = lengthof chars | goto [?= $stack6 = lengthof chars] | if pos < $stack6 goto staticinvoke <comp5111.assignment.CoverageRuntime: void hi
